elapsed_s,cpu_percent,ram_mb,ram_percent
254.35,1.3,4171.5,203.7
254.85,1.7,4171.5,203.7
255.35,0.8,4171.5,203.7
255.85,0.8,4171.4,203.7
256.35,2.1,4171.4,203.7
256.85,0.8,4171.4,203.7
257.35,0.8,4171.4,203.7
257.85,0.8,4171.4,203.7
258.35,0.8,4171.4,203.7
258.85,0.8,4171.4,203.7
259.35,1.5,4171.4,203.7
259.85,2.0,4171.4,203.7
260.35,0.8,4171.4,203.7
260.86,0.8,4171.7,203.7
261.36,2.2,4171.7,203.7
261.86,0.9,4171.6,203.7
262.36,0.8,4171.6,203.7
262.86,0.8,4171.4,203.7
263.36,0.8,4171.4,203.7
263.86,0.8,4171.4,203.7
264.36,1.4,4171.4,203.7
264.86,2.1,4171.4,203.7
265.36,0.8,4171.4,203.7
265.86,0.8,4171.4,203.7
266.36,1.7,4171.4,203.7
266.86,0.8,4171.4,203.7
267.36,0.8,4171.4,203.7
267.86,0.8,4171.4,203.7
268.37,0.8,4171.6,203.7
268.87,0.8,4171.6,203.7
269.37,1.3,4171.4,203.7
269.87,2.1,4171.4,203.7
270.37,0.8,4171.4,203.7
270.87,0.8,4171.4,203.7
271.37,2.0,4171.4,203.7
271.87,0.8,4171.4,203.7
272.37,0.9,4171.4,203.7
272.87,0.8,4171.4,203.7
273.37,0.8,4171.4,203.7
273.87,0.8,4171.4,203.7
274.37,0.8,4171.4,203.7
274.87,1.8,4171.4,203.7
275.38,0.8,4171.4,203.7
275.88,0.8,4171.4,203.7
276.38,1.6,4171.4,203.7
276.88,0.8,4171.4,203.7
277.38,0.8,4171.4,203.7
277.88,0.8,4171.4,203.7
278.38,0.8,4171.4,203.7
278.88,0.9,4171.4,203.7
279.38,0.8,4171.4,203.7
279.88,3.0,4171.4,203.7
280.38,0.8,4171.4,203.7
280.88,0.8,4171.4,203.7
281.38,1.7,4171.4,203.7
281.88,0.8,4171.4,203.7
282.38,0.9,4171.4,203.7
282.89,0.8,4171.4,203.7
283.39,0.8,4171.4,203.7
283.89,0.8,4171.4,203.7
284.39,0.8,4171.4,203.7
284.89,3.1,4171.4,203.7
285.39,0.8,4171.4,203.7
285.89,0.8,4171.4,203.7
286.39,1.8,4171.4,203.7
286.89,0.9,4171.4,203.7
287.39,0.9,4171.4,203.7
287.89,0.8,4171.4,203.7
288.39,0.8,4171.4,203.7
288.89,0.8,4171.4,203.7
289.39,0.8,4171.4,203.7
289.89,2.2,4171.4,203.7
290.4,0.8,4171.4,203.7
290.9,0.8,4171.6,203.7
291.4,1.6,4171.4,203.7
291.9,0.8,4171.4,203.7
292.4,0.9,4171.4,203.7
292.9,0.8,4171.4,203.7
293.4,0.8,4171.4,203.7
293.9,0.8,4171.4,203.7
294.4,0.8,4171.4,203.7
294.9,2.8,4171.6,203.7
295.4,0.8,4171.6,203.7
295.9,0.9,4171.5,203.7
296.4,2.0,4171.5,203.7
296.9,0.8,4171.5,203.7
297.41,0.8,4171.5,203.7
297.91,0.8,4171.5,203.7
298.41,0.8,4171.5,203.7
298.91,0.8,4171.5,203.7
299.41,0.8,4171.5,203.7
299.91,2.9,4171.5,203.7
300.41,0.8,4171.5,203.7
300.91,0.8,4171.5,203.7
301.41,0.9,4171.5,203.7
301.91,1.5,4171.5,203.7
302.41,0.9,4171.5,203.7
302.91,0.9,4171.5,203.7
303.41,0.8,4171.5,203.7
303.91,0.8,4171.5,203.7
304.41,0.8,4171.5,203.7
304.92,3.1,4171.5,203.7
305.42,0.8,4171.5,203.7
305.92,0.8,4171.7,203.7
306.42,0.8,4171.7,203.7
306.92,2.1,4171.7,203.7
307.42,0.8,4171.7,203.7
307.92,0.8,4171.7,203.7
308.42,0.8,4171.6,203.7
308.92,0.9,4171.6,203.7
309.42,0.8,4171.6,203.7
309.92,3.4,4171.6,203.7
310.42,0.8,4171.6,203.7
310.92,0.8,4171.5,203.7
311.42,0.8,4171.5,203.7
311.92,1.7,4171.5,203.7
312.43,0.9,4171.5,203.7
312.93,0.8,4171.5,203.7
313.43,0.8,4172.2,203.7
313.93,0.8,4172.2,203.7
314.43,0.9,4172.2,203.7
314.93,3.0,4172.2,203.7
315.43,0.8,4172.2,203.7
315.93,0.8,4172.2,203.7
316.43,0.8,4172.1,203.7
316.93,1.5,4172.1,203.7
317.43,0.8,4172.1,203.7
317.93,0.8,4172.1,203.7
318.43,0.8,4172.1,203.7
318.93,0.8,4172.1,203.7
319.43,1.0,4172.1,203.7
319.93,2.1,4172.1,203.7
320.44,0.8,4172.1,203.7
320.94,0.8,4172.1,203.7
321.44,0.8,4172.1,203.7
321.94,1.9,4172.1,203.7
322.44,0.9,4172.1,203.7
322.94,0.8,4172.1,203.7
323.44,0.8,4172.1,203.7
323.94,0.8,4172.1,203.7
324.44,0.8,4172.3,203.7
324.94,2.5,4172.1,203.7
325.44,0.8,4172.1,203.7
325.94,0.8,4172.1,203.7
326.44,0.8,4172.1,203.7
326.94,2.2,4172.1,203.7
327.45,0.8,4172.1,203.7
327.95,0.8,4172.1,203.7
328.45,0.8,4172.1,203.7
328.95,0.8,4172.1,203.7
329.45,0.8,4172.1,203.7
329.95,3.0,4172.1,203.7
330.45,0.8,4172.1,203.7
330.95,0.8,4172.1,203.7
331.45,0.9,4172.1,203.7
331.95,1.8,4172.1,203.7
332.45,0.9,4172.1,203.7
332.95,0.8,4172.1,203.7
333.45,0.8,4172.1,203.7
333.95,0.8,4172.1,203.7
334.46,0.8,4172.1,203.7
334.96,3.0,4172.1,203.7
335.46,0.8,4172.1,203.7
335.96,0.8,4172.1,203.7
336.46,0.8,4172.1,203.7
336.96,2.2,4172.1,203.7
337.46,0.8,4172.1,203.7
337.96,0.8,4172.1,203.7
338.46,0.8,4172.1,203.7
338.96,0.9,4172.1,203.7
339.46,0.8,4172.1,203.7
339.96,3.2,4172.1,203.7
340.46,0.8,4172.1,203.7
340.96,0.8,4172.1,203.7
341.47,0.8,4172.1,203.7
341.97,1.8,4172.3,203.7
342.47,0.9,4172.3,203.7
342.97,0.8,4172.3,203.7
343.47,0.8,4172.3,203.7
343.97,0.8,4172.1,203.7
344.47,0.8,4172.1,203.7
344.97,2.4,4172.1,203.7
345.47,0.8,4172.1,203.7
345.97,0.8,4172.1,203.7
